Sentence,ProteinName,UniProtId,PhenotypeName,HPOId,type,Label
"One study has been published on the possible role of PROT in the development of male PHENO (Young et al, 1999).",CYP17,P05093,breast cancer,HP:0003002,ft,Good-CoM
"To test the hypothesis that inhibition of the EGFR/PROT signalling pathway affects the antitumour effect of endocrine therapy, gefitinib and fulvestrant were administered to human PHENO cells.",HER1,P00533,breast cancer,HP:0003002,ft,Bad-CoM
The aim of this study was to evaluate the prognostic and predictive role of PROT overexpression in early PHENO patients enrolled in a trial that compared standard vs dose-dense epirubicin-containing adjuvant chemotherapy.,HER2,P04626,breast cancer,HP:0003002,ft,Bad-CoM
"We also assessed risk by histologic subtype of breast PHENO, by schedule of the progestin component of PROT, and by recency of use.",EPT,O95970,cancer,HP:0002664,ft,Bad-CoM
"Recently, we have shown that FADD phosphorylation at Ser194 can be induced by paclitaxel, with impact on functions both upstream and downstream of the PROT/MKK7/JNK1 pathway, closely associated with sensitisation to chemotherapy in prostate PHENO cells (Shimada et al, 2002, 2004).",MEKK1,Q13233,cancer,HP:0002664,ft,Bad-CoM
"We immunohistochemically examined tumour budding at the deepest invasive margin of 56 surgically resected submucosal colorectal carcinomas using anticytokeratin antibody CAM5.2, furthermore checked by PROT/AE3, and determined the relation between PHENO budding and clinicopathological factors.",AE1,P02730,tumour,HP:0002664,ft,Bad-CoM
"In relation to stages of the tumour, 77 and 79% of the patients coexpressing high levels of HER1, HER3 and HER4 (+HER1/+HER3/+HER4) (Table 2) or high levels of HER2, PROT and HER4 (+HER2/+HER3/+HER4) (Table 3), respectively, correlated with early stage of the PHENO (Ta T1).",HER3,P21860,tumour,HP:0002664,ft,Good-CoM
"Using ovarian cancer cell models, we showed that overexpressed FOXG1 could suppress the TGF- /Smad pathway-induced p21WAF1/PROT expression and enhanced cell proliferation in ovarian PHENO cells.",CIP1,P38936,cancer,HP:0002664,ft,Good-CoM
"Further, RELN (PROT) pathway signalling via the very low-density lipoprotein (VLDL) receptor, to which ApoC-II is known to bind, influences cell motility in PHENO (Sato et al, 2006).",Reelin,P78509,pancreatic cancer,HP:0002894,ft,Good-CoM
"By contrast, the absence of PROT in the host stroma fully accounted for the reduced PHENO growth rate observed in the MIF /  mice.",MIF,P03971,tumour,HP:0002664,ft,Good-CoM
"A recent study demonstrated that macrophage migration inhibitory factor (PROT) was a direct target of miR-451a in nasopharyngeal carcinoma and that MIF controlled PHENO cell growth and invasion (Liu et al, 2013).",MIF,P03971,cancer,HP:0002664,ft,Good-CoM
"Another study investigating the outcome of patients with PROT-positive de novo metastatic PHENO did not demonstrate a difference in outcome compared with patients with HER2-positive recurrent metastatic breast cancer (Rossi et al, 2014).",HER2,P04626,breast cancer,HP:0003002,ft,Bad-CoM
"We also investigated B-PROT and K-RAS mutations, and MSI in 15 ACF, 20 SSA/P, and 2 PHENO in SSA/P specimens, and performed genome-wide DNA methylation array analysis of seven ACF, seven SSA/P, and two cancer in SSA/P specimens.",RAF,P04049,cancer,HP:0002664,ft,Bad-CoM
PROT was seen in a higher proportion of mononuclear cells of patients with PHENO [23].,CCN2,P29279,acute lymphoblastic leukemia,HP:0006721,ft,Good-CoM
"It is essential to note that based on our recent data, both AID full-length and PROT- ex4 mRNAs can be detected in chronically inflamed tissues such as PHENO and in some normal non-lymphatic tissues as well [21].",AID,Q9GZX7,nasal polyps,HP:0100582,ft,Good-CoM
"There are many examples of genes that undergo amplifications in cancer, including AKT2 in ovarian cancer, PROT in breast and ovarian PHENO, MYCL1 in small cell lung cancer, MYCN in neuroblastoma and EGFR in glioma and non-small cell lung cancer; a comprehensive account of these and other cancer-related genes can be found in Futreal et al.",ERRB2,O95718,cancer,HP:0002664,ft,Good-CoM
"Although HIF-2  plays an important role in regulating the level of PROT, renal PHENO cells containing this protein are both sensitive and resistant to TRAIL-induced apoptosis, suggesting that sensitivity to TRAIL is controlled by a complex set of proteins other than the receptor.",DR5,O14763,cancer,HP:0002664,ft,Good-CoM
"PROT, terminal deoxynucleotidyl transferase (TdT), and cell surface markers in childhood acute PHENO.",Adenosine deaminase,P00813,leukemia,HP:0001909,abs,Bad-CoM
"To determine the impact of HER2 16 expression on the biology of ER -positive PHENO cells, we compared the activities of HER2 16 and wild-type PROT in the ER -positive MCF-7 breast tumor cell line.",HER2,P04626,breast tumor,HP:0100013,ft,Bad-CoM
"A recent study of four-month duration, utilizing combined endurance/resistance training demonstrated reduced TNF-alpha receptor levels (TNFR1 and PROT) and a significant (7.5%) increase in peak VO2  in patients with ischemic PHENO, although changes in IL-6 and TNF-alpha were not apparent [16].",TNFR2,P20333,cardiomyopathy,HP:0001638,ft,Good-CoM
"For example, PROT (wisp3) was identified as a marker for inflammatory breast PHENO [36] and recent studies indicated that expression of ccn6 RNA was considerably increased in Rheumatoid arthritis (RA) and to lesser extent in osteoarthritis (OA) [37].",CCN6,O95389,cancer,HP:0002664,ft,Good-CoM
"The analysis of acute PHENO HL60 cells, which contain undetectable levels of phosphorylated PERK and eIF2 , indicated that oncogenic transformation of hematopoietic cells may not always be associated with an upregulation of the PROT-eIF2  phosphorylation arm.",PERK,Q9NZJ5,leukemia,HP:0001909,ft,Good-CoM
"In these conditions, a native complex containing PROT and CLU is detectable in PHENO cells using reciprocal antibodies demonstrating that their interaction is genuine (Figure 4b).",HSP60,P10809,neuroblastoma,HP:0003006,ft,Good-CoM
"Our investigation further showed that PROT-deficient cancer cells exhibited an increased cell traction force, one of the earliest cellular response during EMT.30, 31 This cellular response was associated with an increase in surface integrin  5 1, a well-known mesenchymal marker in PHENO.32 We found increased active integrin and active Rac1 interactions in TAK1-deficient cancer cells.",TAK1,O43318,cancer,HP:0002664,ft,Good-CoM
PROT reflects disease activity in SLE patients with PHENO [16].,Serum albumin,P02768,nephritis,HP:0000123,ft,Good-CoM
"Comparing data from the two groups (sepsis, no PHENO), no statistically significant difference was determined regarding age, PROT, free PSA, prostate volume and FBG.",PSA,Q9Y617,sepsis,HP:0100806,ft,Bad-CoM
"Pathological image [Figure 1f] and immunohistochemical staining results showed strongly positive signals for PROT and leukocyte common antigen, weakly positive signals for CD3 and vimentin and negative signals for glial fibrillary acidic protein, isocitrate dehydrogenase-1, CD34 and cytokeratin pan, and high Ki-67 (>80%) revealed a diffuse large B-cell non-Hodgkin PHENO.",CD20,P11836,lymphoma,HP:0002665,ft,Good-CoM
"In the present study, among ten patients with metastatic breast PHENO, it was possible to analyze ER expression in eight patients and PgR and PROT expression in four.",HER2,P04626,cancer,HP:0002664,ft,Bad-CoM
PHENO seems to be induced by wear debris modulating the expression of PROT- B/RANL and osteoprotegerin (Gehrke et al.,RANK,Q9Y6Q6,Osteolysis,HP:0002797,ft,Good-CoM
"Biguanide and bisguanidine polyamine analogues have also been described as PROT inhibitors and result in reexpression of aberrantly silenced tumor suppressor genes in a human PHENO cell line [53, 54].",LSD1,O60341,colon cancer,HP:0003003,ft,Good-CoM
"Therefore the elucidation of the PROT and its related epigenetic regulation in lung cancer is of great importance, which may expedite the overcome of lung PHENO.",DNMT,P26358,cancer,HP:0002664,ft,Bad-CoM
"Currently used molecular diagnostics based on DNA analysis can identify 9 neurodegenerative diseases, namely spinal cerebellar PHENO inherited in an autosomal dominant manner, dentate-rubro-pallido-luysian atrophy (DRPLA), Friedreich s disease, ataxia with oculomotorapraxia induced mutation of aprataxin gene (APTX), HD, dystonia type 1 (PROT), Wilson s disease (WD), and some cases of PD caused by gene mutations [1-3].",DYT1,O14656,ataxia,HP:0001251,ft,Good-CoM
PROT (AR) is a highly sensitive marker of SC that is useful for differentiating SC from SCC or PHENO.,Androgen receptor,P10275,melanoma,HP:0002861,ft,Bad-CoM
"Our observation that PROT and HSL mRNA are lower in IR muscle is in line with reports of lower expression of these lipases in PHENO and/or insulin resistance (44,45).",ATGL,Q96AD5,obesity,HP:0001513,ft,Good-CoM
Determination of the expression of PROT was used to evaluate the role of glucose transporters during PHENO.,GLUT1,P11166,hyperglycemia,HP:0003074,ft,Bad-CoM
"Furthermore, our demonstration of reduced incidence of low moderate grade but not high-grade prostate cancer among men with diabetes supports the possibility that low PROT levels, rather than lower tumour risk, may explain the observed reduced incidence of prostate PHENO.",PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"The frequency of PROT-1 immunoreactivity in tissue sections was evaluated as negative (0) when no positive cells were observed within the tumor, weak (1) when < 30% of the PHENO cells were positive, moderate (2) when 30% to 60% of the tumor cells were positive, and strong (3) when >60% of tumor cells were positive.",NRP,Q96CV9,tumor,HP:0002664,ft,Bad-CoM
PROT transcript level was found significantly lower in breast PHENO tissues compared to control samples (p=0.03).,Gelsolin,P06396,tumor,HP:0002664,ft,Good-CoM
"Galangin was shown to inhibit mast cell-derived allergic inflammation.9 Galangin also showed anti-inflammatory effects on collagen-induced PHENO via attenuation of PROT-induced activation of Janus kinase, p38, and nuclear factor kappa B (NF- B) pathways.10 Moreover, galangin dampened lipopolysaccharide-induced acute lung injury and inhibited atopic dermatitis-like skin lesions.11,12 However, the effect of galangin on CIH has not yet been studied.",RANKL,O14788,arthritis,HP:0001369,ft,Good-CoM
PROT signaling suppresses starvation-induced PHENO via AKHR+ neurons.,Insulin,P01308,hyperactivity,HP:0000752,ft,Good-CoM
"Despite accurate patient stratification based on assessment of PROT protein overexpression and/or gene amplification, only about 30% of HER2-overexpressing metastatic breast PHENO patients respond to trastuzumab monotherapy (Valabrega et al, 2007).",HER2,P04626,cancer,HP:0002664,ft,Bad-CoM
"Anti-TNF therapy, which is used for inflammatory bowel diseases, rheumatoid PHENO and psoriasis, limits both PROT and TNFR2 signals.",TNFR1,P19438,arthritis,HP:0001369,ft,Bad-CoM
PROT level is closely linked to the body's nutritional (PHENO/overnutrition) and inflammatory status.,Serum albumin,P02768,malnutrition,HP:0004395,ft,Good-CoM
"Clinical parameters such as tumor size, lymph-node status and age as well as pathologic parameters such as histologic grading, hormone receptor status and PROT-status are main factors for risk assignment in PHENO therapy.",HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
"We have previously shown that (1) pigment epithelium-derived factor (PEDF), a glycoprotein with anti-oxidative, anti-inflammatory, and PPAR -stimulating properties blocks the AGE- or IL-6-induced hepatic inflammation and (2) serum PROT levels are independently associated with procollagen type III N-terminal peptide, a marker of hepatic fibrosis in patients with NAFL as a counter system against PHENO-related metabolic derangements [39-44].",PEDF,P36955,insulin resistance,HP:0000855,ft,Bad-CoM
"The human PROT gene is located on chromosome 17q22, distal to the BRCA1 gene located at 17q21, a region that is frequently altered in breast PHENO.",BACH1,Q9BX63,cancer,HP:0002664,ft,Bad-CoM
"Secreted frizzled-related protein 3 (sFRP-3) in human PHENO cells was maximally reduced by 77%, 77%, 77% and 78% by vessel dilator (VDL), kaliuretic peptide (KP), atrial natriuretic peptide (PROT) and long-acting natriuretic peptide (LANP), respectively.",ANP,P01160,pancreatic cancer,HP:0002894,ft,Bad-CoM
"A study in a small Finnish PHENO sample did not find any functional mutation of NLGN1, NLGN3, PROT, or NLNG4Y, although three common variants (rs1488545 in NLGN1, DXS7132 in NLGN3, and DXS996 in NLGN4) that showed minor association with ASDs were found.",NLGN4,Q8N0W4,autism,HP:0000717,ft,Good-CoM
"Therefore, some interaction between the NRG1-ErbB4 signaling and other PHENO-related genes such as PROT might occur during development.",Reelin,P78509,schizophrenia,HP:0100753,ft,Bad-CoM
"Thus, TDO may represent an additional target for PHENO immunotherapy, while both enzymes ought to employ identical downstream effectors, such as PROT.",GCN2,Q9P2K8,cancer,HP:0002664,ft,Bad-CoM
"Because both this antibody and rituximab bind to a specific three-dimensional structure in CD20 (a  conformational epitope ), the researchers hypothesized that statins might alter rituximab-induced killing by affecting the shape of the PROT molecule on the PHENO cell surface.",CD20,P11836,lymphoma,HP:0002665,ft,Bad-CoM
It has been shown that expression of PROT is a critical factor in preventing PHENO-induced metabolic dysfunction in vitro (27).,TKT,Q16832,hyperglycemia,HP:0003074,ft,Good-CoM
"The highest sensitivity and specificity for detection was obtained using an 8-gene biomarker panel (that included PROT), which correctly identified 91.7% of cancer samples, and 90% of cancer negative samples in a retrospective cohort consisting of 36 patients mostly with early stage breast PHENO, and 30 healthy controls (Radpour et al., 2011).",CST6,P04080,cancer,HP:0002664,ft,Bad-CoM
PROT is an adipokine produced predominantly by adipocytes and leptin-mediated signaling has been shown to promote ovarian PHENO cell growth in vitro (26).,Leptin,P41159,cancer,HP:0002664,ft,Good-CoM
"In PHENO-related EMT, PROT/Ras antagonizes TGF -induced apoptosis and cell cycle arrest while simultaneously enhancing the pro-migratory and pro-invasive functions of TGF  (78).",HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
Human epidermal growth factor receptor II (PROT) positive disease comprises approximately 25% of all breast PHENO patients and is associated with more aggressive disease activity and worse prognosis.,HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"This reduced expression is associated with constitutive activation of MAPK1/PROT and, despite the presence of mutated KRAS, exogenous overexpression of DUSP6 induces dephosphorylation of MAPK1/ERK2, subsequent suppression of proliferation, and eventual apoptosis of PHENO cells (16).",ERK2,P28482,pancreatic cancer,HP:0002894,ft,Good-CoM
"The association of calreticulin with PROT occurs in a clear patched pattern on the cell surface (Figures 1B,C), a pattern corresponding to that of the patched foci to which calreticulin redistributed on the cell membrane of apoptotic neutrophils (20), on mitoxantrone treated CT26 colon PHENO cells (21), and hypericin-treated bladder cancer cells (22).",TRAILR2,O14763,cancer,HP:0002664,ft,Bad-CoM
"In fact, the weighted average of abrogating and non-abrogating mutations as well as the total mutation rate for PROT from the Atlas database from 23 PHENO types is 0.21, 2.20, and 2.41%, respectively (Table 1).",BRG1,P51532,tumor,HP:0002664,ft,Bad-CoM
"Of the clinicopathological characteristics of PHENO grade, age, menopause status, estrogen receptor, progesterone receptor, and human epidermal growth factor receptor 2 (HER2), only absence of PROT expression correlated with CLN3 overexpression.",HER2,P04626,tumor,HP:0002664,ft,Good-CoM
"Also PHENO cells suffer from oxidative damage, and redirect the metabolic flux via PROT for inducing ROS clearance (Anastasiou et al., 2011; Gr ning and Ralser, 2011).",PYK,P46019,cancer,HP:0002664,ft,Good-CoM
(2013) showed that the effects of Nab-paclitaxel were largely dose-dependent and that PROT expression in the tumor stroma did not influence drug accumulation in a PHENO mouse model.,SPARC,P09486,pancreatic cancer,HP:0002894,ft,Good-CoM
"Mutant forms and pathologically increased expression levels of EGFR and other members of ErbB family, PROT, ErbB3, and ErbB4 are implicated in PHENO initiation and development.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"In the expanded NAID case series, it was noted that patients with the R702W mutation of NOD2/PROT had a high incidence of PHENO [7], consistent with previous reports [10].",CARD15,Q9HC29,dermatitis,HP:0011123,ft,Good-CoM
"It was found that depletion of CHD4 is synergistic with PROT inhibition in reducing the viability of colon cancer cells in correlation with reactivation of tumor suppressor, suggesting that their combined inhibition may be beneficial for the treatment of PHENO.",DNMT,P26358,colon cancer,HP:0003003,ft,Good-CoM
"We tested this hypothesis by staining the PHENO vasculature with an endothelial marker (Meca-32) and a mature pericyte marker (PROT) to determine the relative pericytic coverage of the tumor vasculature comparing control tumors, erlotinib-treated tumors, and Hb-egf mutant tumors.",Desmin,P17661,tumor,HP:0002664,ft,Bad-CoM
"In PHENO cells, PROT interacts with CD44 and up-regulates CXCR4 by inhibiting expression of miR-139 [45].",HER2,P04626,gastric cancer,HP:0012126,ft,Good-CoM
"Although the EWS-FLI-1 transcript, which is driven by the gene promoter for highly expressed EWS [25], was one to two orders of magnitude more abundant than the FLI-1-EWS transcript in Ewing sarcoma cell lines and tumors (Supplementary Table S1 and S3), silencing FLI-1-EWS nonetheless impaired anchorage-dependent and anchorage-independent growth as well as tumorigenicity of Ewing sarcoma, indicating that FLI-1-PROT plays an important role in this PHENO.",EWS,Q01844,tumor,HP:0002664,ft,Good-CoM
"This trend is consistent with the higher observed levels of AEA in PHENO [16], which could result from reduced expression of PROT in some obese individuals because of rare variants in the promoter region (Table 4).",FAAH,Q7L5A8,obesity,HP:0001513,ft,Good-CoM
"Therefore, although further investigation is required, there remains a possibility that this previously unidentified nonsense SNP is either conferring disease risk to PHENO marked by rs3197999, or if rs3197999 itself confers disease as previously hypothesized [22], this novel SNP is conferring novel risk via the truncation of the key region of the PROT protein.",MST1,Q13043,inflammatory bowel disease,HP:0002037,ft,Good-CoM
"This is reminiscent of the recent work demonstrating the importance of elevated HER2 levels in non-amplified HER2 PHENO stem cells [27] and suggests that PROT may be playing a role in the early stages of cancer development, setting the stage for future oncogenic events.",HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
Differences in fatty acid amides may be linked to fatty acid amide hydrolase (FAAH) as polymorphisms of FAAH genes have been linked to obesity and PHENO [48] and endocannabinoid system-related genes (of which PROT is one) have been shown to be effected by insulin dysregulation in adipose tissue [49].,FAAH,Q7L5A8,insulin resistance,HP:0000855,ft,Bad-CoM
PROT activity in PHENO and in cirrhosis of the liver.,Trehalase,O43280,diabetes mellitus,HP:0000819,abs,Bad-CoM
The PHENO cells were negative for PROT and S-100.,TTF1,P43699,tumor,HP:0002664,ft,Good-CoM
PROT is overexpressed in the liver and mesenteric vascular bed in animal models of PHENO and cirrhosis.,PEDF,P36955,portal hypertension,HP:0001409,ft,Good-CoM
"Keratins PROT/AE3 were positive in this case, consistent with an epithelial origin for the PHENO.",AE1,P02730,tumor,HP:0002664,ft,Good-CoM
"Furthermore, PHENO in Russia and some neighboring countries is caused not only by mutations in BRCA genes, but also by heterozygous inactivation of the CHEK2 and PROT [42].",NBS1,O60934,breast cancer,HP:0003002,ft,Good-CoM
"The here described impaired immune regulatory capacity of TNFR2-deficient MDSC might contribute to the reported higher susceptibility of PROT-deficient mice to pathophysiological consequences of sepsis [23], to impaired tumor growth [24], to failure of immunoparalysis after sublethal sepsis [25], and to the reported protection from PHENO-induced mortality by LPS pre-treatment [26,27].",TNFR2,P20333,sepsis,HP:0100806,ft,Good-CoM
High basal cortisol values in acute PHENO group can be due to acute stress response to hepatitis or release of preformed PROT into the circulation leading to high basal cortisol value akin to what is seen with thyroid functions specifically elevated thyroxin levels.,CBG,P08185,hepatitis,HP:0012115,ft,Good-CoM
"HBF1 exhibited significant antiosteoporosis activity in Wister female albino rats, by restoring urinary (Ca, PO4, CRE, OH-P), serum/plasma (Ca, PO4, ALP, PROT, PTH, T3, TSH, calcitonin osteocalcin, IL1, IL6 and TNF ) and bone minerals (Ca, P, Mg, Zn, Na) parameters, as compared with PHENO rats.",TRAP,P29965,osteoporosis,HP:0000939,ft,Good-CoM
These data indicate that PROT modulates glioma growth by altering the tumor microenvironment and by suppressing PHENO vascularity through suppression of VEGF expression and secretion.,SPARC,P09486,tumor,HP:0002664,ft,Good-CoM
"In recent years, it is recognized that breast cancer is a heterogeneous disease characterised by discrete PHENO subtypes.42 While the exact number of subtypes remains to be elucidated, in a landmark paper, Sorlie et al.43 described Luminal A, Luminal B, Basal (also known as  triple negative  tumours) and PROT over expressing (Table 1).",HER2,P04626,breast cancer,HP:0003002,ft,Good-CoM
"The two relatively recent classes of AHAs   dipeptidyl peptidase 4 (DPP 4) inhibitors and sodium glucose co transporter 2 (SGLT2) inhibitors   as monotherapies are associated with low incidence of hypoglycaemia and weight neutrality (DPP 4 inhibitors) or PHENO (PROT inhibitors), and thus can be useful options in a combination.",SGLT2,P31639,weight loss,HP:0001824,ft,Good-CoM
"Even in their following focused testing, the variation of PROT would be a risk factor for esophageal PHENO patients form Shanxi Province (the North of China) but not from Jiangsu Province (the East of China) 26, 27.",C20orf54,Q9NQ40,cancer,HP:0002664,ft,Good-CoM
"These findings were consistent with the role of PROT in prognostic prediction in PHENO, colon cancer, and prostate cancer 34-36.",MIF,P03971,hepatocellular carcinoma,HP:0001402,ft,Good-CoM
It is reported that ROS production via PROT might contribute to malignant transformation and PHENO progression [44].,NOX2,P04839,tumor,HP:0002664,ft,Good-CoM
"In the mitochondria apoptotic pathway, PROT is a PHENO suppressor gene and one of the regulators of cell cycle control and apoptosis [58].",P53,P04637,tumor,HP:0002664,ft,Good-CoM
"The study reported a correlation between PHENO stage and simultaneous mutation of PROT and TP53, as well as a correlation between micro-vessel density and patient s age and concluded that patients younger than 50 years had a higher rate of angiogenesis.",HER2,P04626,tumor,HP:0002664,ft,Good-CoM
"In this work, we used a neuronal progenitor cells of undifferentiated NT2 cells in the presence of RA, to study the effects of mipafox (a neuropathic OP capable of inhibiting NTE and inducer of the so-called organophosphorus induced PHENO) [34] and paraoxon (a non-neuropathic OP that is not able to inhibit PROT) [35,36] on the initial stages of neuronal differentiation process under in vitro conditions.",NTE,P21589,polyneuropathy,HP:0001271,ft,Bad-CoM
"[18] reported that PROT-AA could increase the sensitivity of pregnant rats to Ang II Combination use of AT1-AA and Ang II induced PHENO, proteinuria, intrauterine growth retardation and arteriolosclerosis in the uteroplacental unit, but use of Ang II alone did not induce these symptoms.",AT1,O00400,hypertension,HP:0000822,ft,Good-CoM
"Along this line, the PAR1 mutant hPar1-7A, which is incapable of associating with the PH domain, markedly inhibits mammary PHENO development and EVT invasion, demonstrating the physiological significance and importance of these novel PROT and PAR2 PH domain binding motifs in both pathological and normal invasion processes.",PAR1,Q9HAB3,tumor,HP:0002664,ft,Good-CoM
"Additionally, miR-150-NF also repressed the expression of PROT, an interacting partner of MUC4, leading to attenuation of its downstream signaling (FAK and ERK) in pancreatic PHENO cells.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"The receptors for the PROT peptide are overexpressed on the membranes of both primary and metastatic ovarian cancer cells, including the multidrug-resistant A2780/AD ovarian PHENO cells used in this work, but are not evidently expressed in most healthy human tissue.36 38 Thus, based on this differential expression, the LHRH peptide was chosen for selective targeting to ovarian cancer cells.",LHRH,P01148,cancer,HP:0002664,ft,Good-CoM
"New strategies targeting the 5-HT1A-PROT pathway could be of great therapeutic interest for the study of pathologies related to an altered 5-HT transmission, such as PHENO and development of alternative treatments.",GIRK2,P48051,depression,HP:0000716,ft,Good-CoM
In the present study the targeting of OPG and PROT in bone metastasis derived PHENO cells (MDA-MB-231 cells) was explored.,RANK,Q9Y6Q6,breast cancer,HP:0003002,ft,Bad-CoM
PROT resistance was calculated on the basis of the homeostasis model assessment of PHENO (HOMA-IR).,Insulin,P01308,insulin resistance,HP:0000855,ft,Good-CoM
"As cell proliferation is crucial for the production of male germ cells and fertility, decreased expression of SCF or c-KIT in the testis and aberrant PROT/c-KIT signaling are associated with PHENO (12, 13).",SCF,P21583,male infertility,HP:0003251,ft,Good-CoM
"The immunohistological findings showed that the PHENO cells were negative for PROT, CD79a, CD3, and cyclin D1, and positive for CD138 (Fig.",CD20,P11836,tumor,HP:0002664,ft,Good-CoM
"Although PROT deletion alone is not sufficient to cause lung PHENO, it elevates mTORC1 and Src activity, which enhances lung cancer induced by K-Ras activation or PTEN deletion [44-46].",LKB1,Q15831,cancer,HP:0002664,ft,Good-CoM
"Over expression of ROR1, lacked of PROT/neu, and hormone receptors on cell surface in the breast cancer, introduce this protein as an appropriate candidate for designing PHENO vaccine.",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
Even prostate PHENO found at PROT level of 4.0 ng/ml or less can be highly aggressive (13).,PSA,Q9Y617,cancer,HP:0002664,ft,Good-CoM
"For hay PHENO, sensitization to PROT was the strongest predictor (OR, 12.79; 95% CI, 6.84-23.90; P < .001), with a smaller effect seen for sensitization to CG2.",CG1,Q13495,fever,HP:0001945,ft,Good-CoM
"It has long been recognized that PROT is fibrillogenic (ie, it can form protein oligomers and fibrils at high concentrations).29 There is increasing evidence for mechanistic common ground between hypertension and AF with respect to ANP.30 Plasma concentrations of both N terminal pro ANP and ANP are increased in essential PHENO,31 37 a finding largely thought to represent a compensatory response to elevated intravascular pressure.",ANP,P01160,hypertension,HP:0000822,ft,Good-CoM
"The common finding of high circulating PROT levels in CHF appears to be at odds with the tendency to salt and PHENO by kidney, a characteristic finding in patients and experimental models of CHF that might suggest that the natriuretic/diuretic effects of the peptide are attenuated in CHF.",ANP,P01160,water retention,HP:0000969,ft,Bad-CoM
"Triple-negative breast PHENO (TNBC) is defined by a lack expression of all three receptors (estrogen, progesterone and PROT) and represents approximately 15 20 % of all breast cancers [1 3].",HER2,P04626,cancer,HP:0002664,ft,Good-CoM
"Moreover, previous reports have demonstrated that PROT is frequently overexpressed, in vivo, in a variety of human tumors (kidney, colon, breast, lung cancer and lymphoma) and its expression rises with increasing PHENO grade, which correlates to a poor prognosis [14-18].",Geminin,O75496,tumor,HP:0002664,ft,Good-CoM
"[16] performed serial serum PROT, CEA, and CA 15-3 measurements in a cohort of 250 patients with primary breast PHENO and found no evidence of residual disease after surgery.",HER2,P04626,cancer,HP:0002664,ft,Bad-CoM
"In particular, this study aims to determine O2  levels and NOX enzyme system expression (PROT, NOX4, p22phox, p40phox, p47phox, p67phox and Rac1) in the skeletal muscle of cachectic (MAC16) PHENO-bearing mice compared to non-cachectic (MAC13) tumour-bearing mice.",NOX2,P04839,tumour,HP:0002664,ft,Good-CoM
"Recently, it has been observed that PROT protects murine mammary epithelial and human SKBR3 PHENO cells from apoptosis following treatment with 1  M of doxorubicin in the presence of 1  g/ml of RANKL.",RANKL,O14788,breast cancer,HP:0003002,ft,Good-CoM
"Recently MEK162, a PROT/2 inhibitor, has shown some promising initial activity in NRAS mutant PHENO, with a 20% RR in a Phase II trial.",MEK1,Q02750,melanoma,HP:0002861,ft,Good-CoM
"Our findings also explain and are supported by observations that inclusion body PHENO, which is the only known condition in which A  deposits occur outside the nervous system, involves the accumulation of macroautophagy-related  rimmed  vacuoles containing elevated APP, A , and PROT (Askanas et al., 1998).",PS1,P49768,myositis,HP:0100614,ft,Good-CoM
"Whichever technique for measuring CTCs is used, most have shown that baseline (i.e., pretreatment) CTC numbers among different cancer patients are not well correlated with standard measures of tumor mass, including PHENO size determined radiographically by x ray or CT (computed tomography) scan or serum protein markers, such as PROT levels in prostate cancer (Budd et al., 2006; Scher et al., 2009; Stott et al., 2010a).",PSA,Q9Y617,tumor,HP:0002664,ft,Bad-CoM
"In Ras-driven PHENO, the loss of PROT signaling through MARK and loss of the ability to recognize ECM gradients is associated with enhanced invasion.",LKB1,Q15831,melanoma,HP:0002861,ft,Good-CoM
"Importantly, the molecular targeting of sonic hedgehog SHH/PROT/GLI by using smoothened co-receptor inhibitor, cyclopamine also prevented the growth, recurrence, and metastasis of melanoma xenografts in mice in vivo suggesting that the PHENO-initiating cells may be eliminated following this treatment type [226].",PTCH,Q13635,melanoma,HP:0002861,ft,Bad-CoM
"When the ALD subgroup with PHENO was examined, a significant increase in PROT, FPN1 and TFR1 mRNA levels was observed compared with controls (3.50-fold, P = 0.0018, 1.93-fold, P = 0.0115 and 2.84-fold, P = 0.0075, respectively).",DMT1,Q9Y5R6,anaemia,HP:0001903,ft,Good-CoM
Ongoing trials are examining whether adjuvant blockade of the PROT pathway using denosumab can prevent disease recurrence in patients with high-risk breast PHENO.,RANKL,O14788,cancer,HP:0002664,ft,Bad-CoM
"PROT inhibitors are expected to be effective in patients with PHENO and obesity, but it is important to select treatment according to patient background factors that minimizes the risk of adverse events.",SGLT2,P31639,insulin resistance,HP:0000855,ft,Good-CoM
"PROT deficiency has been reported to cause delayed puberty in adolescent girls, minimal or absent breast development, PHENO, hypergonadotropic hypogonadism, tall stature, delayed bone age, and enlarged and multicystic ovaries.",Aromatase,P11511,primary amenorrhea,HP:0000786,ft,Good-CoM
This pattern of decreased SPARC levels would suggest an inhibitory role for PROT in PHENO formation.,SPARC,P09486,tumor,HP:0002664,ft,Good-CoM
"PROT (PAI-1) is the key inhibitor of the plasminogen activation system (PAS), PAI-1 participate in the pathophysiology of a number of diseases such as PHENO, restenosis, and cancer [8-11].",Plasminogen activator inhibitor 1,P05121,atherosclerosis,HP:0002621,ft,Good-CoM
